NTA_Name,NTA_Code,TotalPop,Hispanic,WhiteNonHisp,BlackNonHisp,AsianPI,OtherRace,Poverty,EduLessThanHS,PrematureMortality,PretermBirths,SMM,HIV,HepB,HepC,TB
Whole NYC,NYC,8354889,28.8,32.7,22.6,13.2,2.7,20.6,19.9,193.8,9.1,229.6,33.6,122,119.5,7.2
Brooklyn Heights-Cobble Hill,BK09,23532,8.9,73.4,5.7,7.8,4.2,10,2.2,72,7.8,196.1,0,16.1,52.1,1.4
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,63459,7.1,69.7,6.8,15.4,1,16.6,12.6,167.3,8.6,204.3,12.3,104.6,109.6,5.8
Brighton Beach,BK19,33146,12.4,68.7,1.3,15.2,2.3,28.1,12.1,177.9,9.9,203.1,2.9,117.6,211.2,5
Seagate-Coney Island,BK21,29229,24.9,32,29.8,11.6,1.8,37.1,28.6,328.4,12.7,364.3,33,82.4,171.3,4.6
West Brighton,BK23,14977,0.5,98.2,0.8,0.3,0.2,14.7,6.8,168.2,8.3,NA,0,70.1,164.7,2.2
Homecrest,BK25,43565,7.3,78.7,0.9,11.2,1.9,17.8,15.6,149.5,6.6,150.6,13.4,100.2,123.8,5.4
Gravesend,BK26,28944,13.9,52.5,9.1,22.9,1.6,23.7,23.9,170.9,8.9,217.9,30.1,145.4,134.2,13.8
Bath Beach,BK27,32002,15.2,47.2,1.2,35.2,1.2,15.8,25,126.4,8.1,134.5,0,190.9,87.9,14.6
Bensonhurst West,BK28,90834,15.1,44.9,0.7,38.1,1.2,19.3,29.6,134.6,7.2,139.1,5.3,263.3,87.6,12.8
Bensonhurst East,BK29,61820,10.9,49,0.7,37.7,1.7,15.6,27.8,130.4,8,194.7,6.2,254.2,131.1,8.6
Dyker Heights,BK30,46700,10.2,49,0.6,39.3,1,16,30.1,123.3,7.7,159.2,2.1,326.7,51.8,10
Bay Ridge,BK31,84439,16.8,64.3,1.7,14.5,2.7,17,14.3,134.5,8.3,176.7,10.6,82.7,72,8.7
Sunset Park West,BK32,56422,64.1,17.2,3.3,13.8,1.4,28,38.2,131.2,8.4,217,21.2,157.9,124.7,13
Carroll Gardens-Columbia Street-Red Hook,BK33,40307,20.9,60.3,10.3,5.5,3,15.1,11.8,140.7,8.7,175.4,9.8,27,90.3,3.3
Sunset Park East,BK34,72622,33.6,11.8,1.4,51.6,1.6,34.7,53.5,118.8,6.2,149.6,6.5,1263.9,62.1,22.5
Stuyvesant Heights,BK35,66124,19.5,5.8,70.9,2.3,1.4,28.9,24,275.7,12.6,481,66.1,53.4,133.3,9.1
